Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
6/30/2024,Switch trouble at Hall,0,0,0,0,0,0,22,2,0
6/26/2024,Possible trespasser strike at Amityville,28,3,1,0,0,0,5,0,1
6/24/2024,Possible stop signal violation,24,0,0,0,0,0,4,0,0
6/23/2024,Trespasser on the tracks between Woodside & Forest Hills,0,0,0,0,0,0,22,0,0
6/17/2024,Trespasser Strike East of Wyandanch station,2,1,4,0,0,0,3,0,5
6/13/2024,Police activity in Long Beach,0,0,0,0,0,2,4,1,3
6/11/2024,Equipment trouble NO.121,11,0,1,0,0,0,1,0,0
6/11/2024,Switch trouble at Harold,7,0,0,0,0,0,5,0,0
6/11/2024,Equipment trouble NO.82,0,0,0,2,2,0,5,2,0
6/10/2024,Police activity in Jay,0,0,0,26,1,1,6,1,0
6/6/2024,Equipment trouble NO. 90,2,0,0,0,0,0,8,2,1
6/5/2024,Trespasser Strike east of Mineola,0,0,0,0,0,0,33,9,7
6/3/2024,Track circuit failure at Hall,0,0,0,0,0,0,13,0,0
6/3/2024,Equipment trouble NO. 657,0,0,0,4,0,0,6,0,1
6/2/2024,Track work congestion at Queens,0,0,0,0,0,0,12,0,0
6/2/2024,Switch trouble at Queens,0,0,0,0,0,0,18,0,0
6/1/2024,Track work congestion at Queens,0,0,0,0,0,0,22,0,0
5/27/2024,Heavy holiday loading system wide,0,0,0,0,0,0,13,0,0
5/24/2024,Bridge strike at Continental Ave,0,0,0,0,0,0,28,0,0
5/24/2024,292 violation at Jamaica,0,0,0,18,0,1,7,0,0
5/20/2024,Equipment trouble NO. 1515,6,1,0,0,0,0,3,0,0
5/20/2024,Heavy loading system wide,1,0,0,0,0,0,14,0,0
5/17/2024,Track circuit failure at Jay,0,0,0,0,0,0,21,5,0
5/13/2024,Bridge strike at Continental Ave,0,0,0,0,0,0,21,0,0
5/9/2024,Crossing activation failure,0,0,0,1,0,0,14,0,0
5/8/2024,Bridge strike at Continental Ave,12,0,0,0,0,0,0,0,0
5/7/2024,NO. 37 Equipment trouble at Speonk,10,1,0,0,0,0,0,0,0
5/4/2024,Debris strike on the Port Washington Branch,0,0,0,0,0,0,10,0,1
4/30/2024,Trespasser strike at Robbins Lane,0,0,0,0,0,0,3,1,8
4/25/2024,No. 162 Equipment trouble in Line 3,0,0,0,0,0,0,10,1,1
4/19/2024,Switch trouble at Queens,0,0,0,8,0,0,5,0,0
4/18/2024,Inclement weather,14,0,0,0,0,0,8,6,0
4/17/2024,Track circuit failure at Nassau 1,0,0,0,3,0,0,8,0,0
4/3/2024,Heavy Rain,0,0,0,0,0,0,11,0,0
4/2/2024,NO. 1162 EQ trouble,0,0,0,13,0,1,1,0,0
3/28/2024,NO. 8 Equipment trouble East of Harold,0,0,0,0,0,0,10,0,1
3/27/2024,Switch Trouble at Hall,0,0,0,6,0,0,7,0,0
3/26/2024,NO. 42 door trouble in WSY,0,0,0,9,1,0,2,0,0
3/22/2024,Trespasser strike East of Syosset,0,0,0,0,0,0,3,2,6
3/17/2024,Track circuit failure East of Lakeview Station,0,0,0,0,0,0,11,1,0
3/11/2024,Train NO. 868 Smoke condition,0,0,0,11,0,0,4,0,0
3/11/2024,High wind conditions,0,0,0,7,0,0,6,0,0
3/6/2024,Switch trouble Harold,24,0,1,0,0,0,0,0,0
3/6/2024,Track circuit failure Divide 4,0,0,0,7,0,0,7,0,0
2/25/2024,Trespasser strike at Woodside Station,0,0,0,0,0,0,12,2,0
2/22/2024,Down wires fouling NO. 1 and 2 track west of East New York,0,16,4,0,0,0,0,18,3
2/17/2024,Snow related,0,0,0,0,0,0,11,0,0
2/15/2024,Car on the tracks between Woodmere and Cedarhurst,0,0,0,4,0,5,2,0,6
2/13/2024,Severe Snow Conditions - system wide,8,0,0,5,0,0,18,0,0
2/12/2024,Broken rail on Mainline 3  - West of Forest Hills,9,13,0,0,0,0,0,0,0
2/11/2024,Vehicle on tracks west of Wyandanch,0,0,0,0,0,0,4,5,5
2/7/2024,Broken rail at Amityville,0,0,0,0,2,0,6,4,0
2/7/2024,Restriction for trespasser between Woodside and Forest Hills,0,0,0,10,0,0,2,0,0
2/6/2024,No. 45 - Trespasser strike East End of Bayshore,0,0,0,8,1,1,4,1,0
1/29/2024,Bad IJ at Beth,15,0,0,0,0,0,2,0,0
1/24/2024,Loss of Supervisory System at Ronkonkoma,0,0,0,0,0,0,10,1,0
1/19/2024,Switch trouble at Jay Interlocking,28,0,0,0,0,0,1,0,0
1/18/2024,Switch trouble Queens,0,0,0,11,0,0,5,0,0
1/17/2024,Snow related,37,2,4,0,0,0,20,3,1
1/16/2024,Snow related,14,0,0,15,5,1,18,0,0
1/16/2024,Weather related loading,18,0,0,0,0,0,5,0,0
1/15/2024,Bridge Trouble Wreck Lead Bridge,0,4,0,2,0,0,6,19,0
1/13/2024,Flooding Island Park,0,0,0,0,0,0,4,1,7
1/12/2024,No. 1133 Trespasser strike at Merrick,4,0,1,5,4,0,0,0,0
1/11/2024,Broken rail on Port Jeff 1,3,0,0,0,0,0,18,2,2
1/10/2024,Flood damage at Long Beach,1,2,2,0,0,0,2,1,5
1/10/2024,High wind conditions,0,0,0,0,0,0,10,0,0
1/9/2024,Loss of Supervisory System at Hall,0,0,0,0,0,0,33,0,0
1/9/2024,High wind conditions,0,0,0,6,0,0,11,2,1
