Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
7/1/2020,Severe weather related delays,0,0,0,6,0,0,17,0,0
6/23/2020,Trespasser fatality in Jamaica Station,0,0,0,0,0,0,17,4,1
6/22/2020,Track condition in Queens Interlocking,0,0,0,6,3,0,5,0,1
6/19/2020,Track circuit failure at Divide Interlocking,0,0,0,11,2,1,3,0,0
6/16/2020,Signal trouble in Valley Interlocking,0,0,0,0,0,0,11,0,0
6/8/2020,Track circuit failure between Bethpage and Farmingdale stations,0,0,0,3,0,0,7,0,0
4/29/2020,Track condition on Lead Bridge,0,0,0,0,0,0,1,9,1
4/17/2020,Debris on tracks west of Murray Hill Station,0,0,0,0,0,0,3,0,9
4/14/2020,Severe weather and high winds system wide,0,0,0,0,0,0,16,0,0
4/13/2020,Severe weather and high winds system wide,0,0,0,0,0,0,29,0,1
4/2/2020,Signal trouble east of Great Neck Station,0,0,0,0,0,0,13,2,1
3/22/2020,Train 7706 with equipment trouble leaving Penn Station,0,0,0,0,0,0,28,4,4
3/17/2020,Track condition west of New Hyde Park Station,15,0,0,0,0,0,0,0,0
3/17/2020,Amtrak signal trouble in F Interlocking,0,0,0,0,0,0,10,0,0
3/13/2020,Trespasser on tracks in Penn Station,55,0,0,0,0,0,19,0,0
3/12/2020,Trespasser strike at Lindenhurst Station,7,6,0,0,0,0,9,1,1
3/10/2020,Switch trouble in Queens Interlocking,0,0,0,13,0,0,19,0,0
3/9/2020,Amtrak switch trouble in JO Interlocking,12,0,0,0,0,0,1,0,0
3/9/2020,Amtrak switch trouble in F Interlocking,0,0,0,55,2,0,10,0,0
3/6/2020,Track condition east of Jamaica Station,0,0,0,12,0,0,2,0,0
3/5/2020,Trespasser strike west of Rockville Centre Station,16,13,1,0,0,0,2,1,3
3/5/2020,Bridge strike east of Mastic-Shirley Station,8,0,0,0,0,0,2,0,0
3/4/2020,Switch trouble in Queens Interlocking,0,0,0,1,0,0,15,0,0
3/3/2020,Signal trouble west of Long Beach Station,0,0,0,7,1,1,1,2,0
3/3/2020,Train crew error in Babylon Yard,13,0,0,0,0,0,3,0,0
2/29/2020,Temporary platforms west of Jamaica,0,0,0,0,0,0,10,0,0
2/28/2020,Loss of Supervisory System at Merillon Ave,0,0,0,31,7,5,16,4,1
2/18/2020,Train 3859 with equipment trouble west of Long Beach,0,0,0,10,2,1,3,1,0
2/14/2020,Track condition at Woodside Station,14,0,2,0,0,0,8,0,0
2/14/2020,Train 1722 with equipment trouble west of Jamaica,0,0,0,10,0,0,1,0,0
2/13/2020,Bridge strike at Hamilton Ave,9,0,0,0,0,0,3,0,0
2/12/2020,Amtrak related loss of power in East River tunnels,0,0,0,16,5,0,15,0,0
2/7/2020,Rules violation,0,0,0,33,5,0,4,0,0
2/7/2020,Strong wind conditions system wide,0,0,0,1,0,0,12,2,0
2/4/2020,Switch trouble west of Merillon Ave Station,0,0,0,13,2,1,3,0,0
2/4/2020,Switch trouble in Queens Interlocking,0,0,0,0,0,0,15,0,0
2/3/2020,Switch trouble in Queens Interlocking,0,0,0,10,0,0,0,0,0
2/3/2020,Surfacing condition at Queens,0,0,0,0,0,0,10,0,0
2/2/2020,Signal trouble east of Copiague Station,0,0,0,0,0,0,20,0,0
1/30/2020,Switch trouble in Harold Interlocking,0,0,0,9,0,0,1,0,0
1/28/2020,Main Line expansion track program,2,0,0,0,0,0,12,3,0
1/28/2020,Track condition west of Merillon Ave Station,9,0,0,0,0,0,1,0,0
1/25/2020,Main Line expansion track program,0,0,0,0,0,0,14,1,0
1/22/2020,Track condition at Valley Stream,0,0,0,3,0,0,9,0,0
1/21/2020,Train 956 with equipment trouble west of Jamaica,0,0,0,13,2,0,10,1,0
1/19/2020,Main Line expansion track program,0,0,0,0,0,0,15,0,0
1/18/2020,Weather loading,0,0,0,0,0,0,14,0,0
1/16/2020,Track condition at Merillon Avenue Station,24,0,0,0,0,0,3,0,0
1/16/2020,Engineer error,0,0,0,1,1,0,9,1,0
1/15/2020,Switch trouble in Queens Interlocking,0,0,0,20,0,0,13,1,0
1/14/2020,Amtrak related track condition,9,0,0,0,0,0,1,0,0
1/14/2020,Train 566 with equipment trouble at Floral Park Station,0,0,0,6,0,1,4,1,0
1/14/2020,Slow loading system wide,8,0,0,2,0,0,3,0,0
1/13/2020,Switch trouble west of Ronkonkoma Station,10,0,0,0,0,0,2,0,0
1/12/2020,Trespasser fatality west of Merillon Ave Station,0,0,0,0,0,0,13,10,11
1/11/2020,Main Line expansion track program,0,0,0,0,0,0,19,0,0
1/9/2020,Multiple track conditions between Valley and Dunton Interlockings,2,0,0,1,0,0,12,0,0
1/8/2020,Multiple track conditions between Valley and Dunton Interlockings,13,0,0,2,0,0,6,0,0
1/6/2020,Track condition at Lindenhurst Station,5,1,0,0,0,0,8,2,1
1/4/2020,Main Line expansion track program,0,0,0,0,0,0,13,0,0
1/3/2020,Amtrak related track condition,0,0,0,3,0,0,7,0,0
1/3/2020,Motor vehicle accident interfered with train movement at East Rockaway,21,5,0,0,0,0,5,1,0
